보호구역구분,보호구역명칭,소재지,위도,경도
경로당,들말경로당,가장동,36.32949,127.38428
경로당,삼성래미안아파트2단지경로당,가장동,36.33426,127.386548
경로당,삼성래미안아파트1단지경로당,가장동,36.332889,127.384442
어린이집,달이어린이집,가장동,36.332057,127.387367
어린이집,이비에스하늘어린이집,가장동,36.33012,127.383996
초등학교,대전가장초등학교,가장동,36.330674,127.388469
경로당,새들경로당,가장동,36.331122,127.389647
어린이집,해누리어린이집,가장동,36.335587,127.386961
어린이집,나르매어린이집,가장동,36.332889,127.384442
어린이집,가장좋은어린이집,가장동,36.334205,127.386236
어린이집,곰비임비어린이집,가장동,36.334383,127.385901
어린이집,구슬어린이집,가장동,36.333149,127.384295
어린이집,다온빛어린이집,가장동,36.334383,127.385901
어린이집,사랑별어린이집,가장동,36.334579,127.385454
어린이집,잠언어린이집,가장동,36.334205,127.386236
어린이집,캥거루어린이집,가장동,36.334215,127.386381
어린이집,정원어린이집,괴정동,36.336564,127.382252
경로당,응기경로당,괴정동,36.338066,127.38009
경로당,백운경로당,괴정동,36.339823,127.38871
경로당,지치울경로당,괴정동,36.339735,127.37688
어린이집,우리어린이집,괴정동,36.338688,127.383483
경로당,한신아파트경로당,괴정동,36.341505,127.382726
어린이집,금샘어린이집,괴정동,36.338745,127.377033
경로당,괴정경로당,괴정동,36.337847,127.386375
어린이집,깨금발어린이집,괴정동,36.338251,127.379231
어린이집,백운어린이집,괴정동,36.339894,127.384855
어린이집,서대전어린이집,괴정동,36.341731,127.384718
초등학교,대전백운초등학교,괴정동,36.340659,127.384793
경로당,하늘경로당,괴정동,36.341058,127.386873
경로당,한민경로당,괴정동,36.334788,127.383904
어린이집,한신어린이집,괴정동,36.342219,127.383076
경로당,롯데아파트경로당,내동,36.337453,127.367931
경로당,맑은아침아파트경로당,내동,36.331966,127.382032
경로당,코오롱아파트경로당,내동,36.335824,127.369972
경로당,서우아파트경로당,내동,36.332834,127.372179
어린이집,다예린어린이집,내동,36.332955,127.378115
어린이집,목련어린이집,내동,36.339608,127.368092
어린이집,내동어린이집,내동,36.332942,127.37914
어린이집,하얀도담어린이집,내동,36.334317,127.378282
경로당,내동경로당,내동,36.331398,127.378439
경로당,신성아파트경로당,내동,36.331543,127.373426
경로당,가장골경로당,내동,36.335571,127.376902
어린이집,델타샌드어린이집,내동,36.331966,127.382032
어린이집,한솔어린이집,내동,36.330701,127.381419
초등학교,대전내동초등학교,내동,36.330888,127.379245
어린이집,소망어린이집,내동,36.331096,127.375902
어린이집,꼬마사랑어린이집,내동,36.335048,127.369866
어린이집,팅커벨어린이집,내동,36.335841,127.369916
어린이집,고은어린이집,내동,36.331402,127.382772
어린이집,공하나공둘어린이집,내동,36.33559,127.36847
어린이집,그림동화어린이집,내동,36.331482,127.38256
어린이집,또래모아어린이집,내동,36.331966,127.382032
어린이집,맑은아침어린이집,내동,36.331729,127.383159
어린이집,배꼽어린이집,내동,36.332132,127.382677
어린이집,베이비캐슬어린이집,내동,36.331966,127.382032
어린이집,보물섬어린이집,내동,36.335725,127.368313
어린이집,사랑샘어린이집,내동,36.337228,127.367989
어린이집,쎄쎄쎄어린이집,내동,36.331385,127.382973
어린이집,예지어린이집,내동,36.331729,127.383159
어린이집,하은어린이집,내동,36.331966,127.382032
경로당,도마1경로당,도마1동,36.315316,127.381217
경로당,용화경로당,도마1동,36.321617,127.374519
경로당,효성타운경로당,도마1동,36.310399,127.38365
경로당,은해경로당,도마1동,36.325334,127.371894
경로당,세심경로당,도마1동,36.319878,127.381549
